,er,AV,Accuracy
399,boosting,VIPRE,0.926536731634183
400,boosting,ViRobot,0.863943028485757
401,boosting,Webroot,0.93928035982009
402,boosting,Yandex,0.9430284857571215
403,boosting,ZoneAlarm,0.931034482758621
404,boosting,Zoner,0.9441529235382304
405,boosting,eGambit,0.961769115442279
406,gbm,ALYac,0.9197901049475266
407,gbm,AVG,0.886056971514243
408,gbm,AVware,0.8905547226386805
409,gbm,Ad-Aware,0.91191904047976
410,gbm,AhnLab-V3,0.901799100449775
411,gbm,Arcabit,0.8943028485757121
412,gbm,Avast,0.8890554722638679
413,gbm,Avira,0.8958020989505244
414,gbm,Baidu,0.8954272863568216
415,gbm,BitDefender,0.903298350824588
416,gbm,Bkav,0.8973013493253374
417,gbm,CATQHeal,0.895802098950525
418,gbm,CMC,0.8943028485757121
419,gbm,ClamAV,0.895052473763118
420,gbm,Comodo,0.8928035982008995
421,gbm,CrowdStrike,0.89880059970015
422,gbm,Cyren,0.9036731634182905
423,gbm,DrWeb,0.8935532233883055
424,gbm,ENOD32,0.887181409295352
425,gbm,Emsisoft,0.8894302848575715
426,gbm,Endgame,0.8868065967016495
427,gbm,F-Prot,0.911169415292354
428,gbm,F-Secure,0.895802098950525
429,gbm,Fortinet,0.8800599700149925
430,gbm,GData,0.896551724137931
431,gbm,Invincea,0.8939280359820085
432,gbm,Jiangmin,0.9036731634182911
433,gbm,K7AntiVirus,0.8961769115442275
434,gbm,K7GW,0.893928035982009
435,gbm,Kaspersky,0.89167916041979
436,gbm,Kingsoft,0.8242128935532235
437,gbm,MAX,0.8890554722638679
438,gbm,McAfee,0.8924287856071964
439,gbm,McAfee-GW,0.8886806596701651
440,gbm,MicroWorld,0.89880059970015
441,gbm,Microsoft,0.8898050974512746
442,gbm,NANO,0.8804347826086956
443,gbm,Paloalto,0.8826836581709145
444,gbm,Panda,0.8913043478260869
445,gbm,Qihoo-360,0.9006746626686655
446,gbm,Rising,0.9014242878560715
447,gbm,SASpyware,0.9047976011994
448,gbm,SentinelOne,0.8935532233883055
449,gbm,Sophos,0.8931784107946025
450,gbm,Symantec,0.885307346326837
451,gbm,Tencent,0.9002998500749625
452,gbm,TheHacker,0.873313343328336
453,gbm,TotalDefense,0.8571964017991005
454,gbm,TrendMicro,0.895802098950525
455,gbm,TMHouseC,0.890929535232384
456,gbm,VBA32,0.893553223388306
457,gbm,VIPRE,0.8935532233883055
458,gbm,ViRobot,0.833583208395802
459,gbm,Webroot,0.8961769115442275
460,gbm,Yandex,0.9040479760119939
461,gbm,ZoneAlarm,0.89167916041979
462,gbm,Zoner,0.917541229385307
463,gbm,eGambit,0.930284857571214
464,h2o.deepL,ALYac,0.919415292353823
465,h2o.deepL,AVG,0.893553223388306
466,h2o.deepL,AVware,0.889430284857571
467,h2o.deepL,Ad-Aware,0.9220389805097455
468,h2o.deepL,AhnLab-V3,0.91191904047976
469,h2o.deepL,Arcabit,0.8988005997001496
470,h2o.deepL,Avast,0.8950524737631185
471,h2o.deepL,Avira,0.883808095952024
472,h2o.deepL,Baidu,0.901799100449775
473,h2o.deepL,BitDefender,0.9021739130434785
474,h2o.deepL,Bkav,0.889430284857571
475,h2o.deepL,CATQHeal,0.899550224887556
476,h2o.deepL,CMC,0.8909295352323835
477,h2o.deepL,ClamAV,0.914167916041979
478,h2o.deepL,Comodo,0.8984257871064469
479,h2o.deepL,CrowdStrike,0.901424287856072
480,h2o.deepL,Cyren,0.909295352323838
481,h2o.deepL,DrWeb,0.8935532233883055
482,h2o.deepL,ENOD32,0.8999250374812591
483,h2o.deepL,Emsisoft,0.8954272863568216
484,h2o.deepL,Endgame,0.9029235382308844
485,h2o.deepL,F-Prot,0.912293853073463
486,h2o.deepL,F-Secure,0.899550224887556
487,h2o.deepL,Fortinet,0.880809595202399
488,h2o.deepL,GData,0.901799100449775
489,h2o.deepL,Invincea,0.888305847076462
490,h2o.deepL,Jiangmin,0.920914542728636
491,h2o.deepL,K7AntiVirus,0.896176911544228
492,h2o.deepL,K7GW,0.896551724137931
493,h2o.deepL,Kaspersky,0.8879310344827585
494,h2o.deepL,Kingsoft,0.8257121439280359
495,h2o.deepL,MAX,0.896176911544228
496,h2o.deepL,McAfee,0.8943028485757121
497,h2o.deepL,McAfee-GW,0.893928035982009
498,h2o.deepL,MicroWorld,0.9055472263868065
499,h2o.deepL,Microsoft,0.8823088455772115
500,h2o.deepL,NANO,0.8939280359820085
501,h2o.deepL,Paloalto,0.8793103448275861
502,h2o.deepL,Panda,0.9002998500749625
503,h2o.deepL,Qihoo-360,0.9036731634182905
504,h2o.deepL,Rising,0.908545727136432
505,h2o.deepL,SASpyware,0.9104197901049476
506,h2o.deepL,SentinelOne,0.897301349325337
